VehID,Time,Position,Speed
286,3637,47.76819504,38.4377184
286,3638,55.8244248,38.87772768
286,3639,67.58723592,47.91712032
286,3640,81.77811432,52.83293472
286,3641,95.2923672,42.52728096
286,3642,106.64086368,39.95525664
286,3643,117.47726568,38.09426976
286,3644,127.72010016,36.93115296
286,3645,139.15165464,44.87216832
286,3646,151.75129416,45.47896416
286,3647,164.23617648,44.22696768
286,3648,176.49498864,44.16332544
286,3649,188.36112696,40.74859008
286,3650,199.50068304,39.92782464
286,3651,210.16459872,36.31887072
286,3652,220.0566084,35.24134176
286,3653,228.9448812,27.85335552
286,3654,236.30814816,26.29192608
286,3655,243.57659184,26.17780896
286,3656,250.92986136,26.9053056
286,3657,258.22966896,25.4788416
286,3658,265.22153712,23.88010464
286,3659,271.3555152,21.42110016
286,3660,277.42813704,22.8179376
286,3661,284.49288288,27.38371968
286,3662,292.01967504,25.51944096
286,3663,298.43909832,21.93791904
286,3664,304.57743504,22.41084672
286,3665,311.04736368,24.76780416
286,3666,318.2581392,27.08306496
286,3667,326.84152056,34.65429696
286,3668,336.41708688,33.55921152
286,3669,345.80791392,34.83864
286,3670,355.86216864,36.99808704
286,3671,366.32131968,38.3444496
286,3672,377.21718816,40.53791232
286,3673,389.19527952,44.91605952
286,3674,400.8682356,37.94833152
286,3675,410.26403088,30.41440704
286,3676,418.48198752,28.83322656
286,3677,425.94818544,25.55894304
286,3678,432.90768384,23.45436
286,3679,438.84747384,20.628864
286,3680,444.57052056,19.20569184
286,3681,449.32088952,15.63624
286,3682,453.35193048,13.12676064
286,3683,456.26176464,7.72046208
286,3684,458.08181688,6.96992256
286,3685,460.82766864,12.07995552
286,3686,464.1901308,12.1029984
286,3687,467.55225768,12.17871072
286,3688,470.95403904,12.179808
286,3689,474.0723564,9.33126912
286,3690,476.38191744,6.7318128
286,3691,478.18340736,8.91101088
286,3692,482.5317756,22.0443552
286,3693,488.87661432,22.9002336
286,3694,495.2373636,22.9002336
286,3695,501.58470168,22.83000768
286,3696,507.93972072,22.9002336
286,3697,511.756152,22.9002336
298,3640,20.9298032,50.8686816
298,3641,34.31276856,50.62630464
298,3642,48.01069392,47.61536832
298,3643,62.28636768,49.5037872
298,3644,76.0015752,54.70708896
298,3645,89.56712592,43.00350048
298,3646,101.06805288,40.6597104
298,3647,112.53130656,41.03936928
298,3648,123.90107808,39.82468032
298,3649,134.9445612,41.38062336
298,3650,146.5754244,41.65494336
298,3651,157.74366216,39.18606336
298,3652,168.55833192,38.60011584
298,3653,179.23392144,38.42894016
298,3654,189.9153936,38.459664
298,3655,200.57809008,38.30933664
298,3656,211.14483552,37.67730336
298,3657,221.17946112,33.75123552
298,3658,230.30922696,32.92169184
298,3659,238.98188424,27.06880032
298,3660,245.5427652,22.6259136
298,3661,251.82710112,22.60725984
298,3662,258.03273768,22.29234048
298,3663,266.18025504,39.43404864
298,3664,275.45784888,22.20126624
298,3665,280.97792928,21.32234496
298,3666,287.99844864,27.40127616
298,3667,295.59598488,27.30252096
298,3668,303.20440248,27.432
298,3669,310.78349832,27.14012352
298,3670,318.70628664,31.53692448
298,3671,328.66404168,38.6846064
298,3672,339.37800552,38.15023104
298,3673,350.12930736,39.74567616
298,3674,361.24899048,40.30528896
298,3675,372.49123368,39.64143456
298,3676,383.39783112,40.2317712
298,3677,394.53446112,37.3568976
298,3678,403.97832336,31.54789728
298,3679,412.03211472,27.50442048
298,3680,419.57317152,25.80912288
298,3681,426.14883528,22.21772544
298,3682,432.2487672,21.94779456
298,3683,438.03283488,17.5784256
298,3684,442.00291584,13.1454144
298,3685,445.66158264,13.16736
298,3686,449.31988368,13.16736
298,3687,452.9780628,13.16736
298,3688,456.63633336,13.16736
298,3689,460.29466488,13.16736
298,3690,463.952844,13.16736
298,3691,467.61218136,13.24526688
298,3692,471.31123416,13.24636416
298,3693,474.97142496,13.1728464
298,3694,478.91352528,17.68156992
298,3695,485.03927376,23.94703872
298,3696,491.68927824,23.9426496
298,3697,498.33583848,23.88010464
298,3698,504.97106016,23.93826048
298,3699,511.62130848,23.9426496
298,3700,515.2787256,23.9426496
308,3643,24.0854484,36.1608624
308,3644,33.5369916,39.09718368
308,3645,43.94268072,36.79618752
308,3646,55.64529384,47.56818528
308,3647,69.24742056,49.09340448
308,3648,82.3929264,44.75037024
308,3649,94.49845464,43.39413216
308,3650,107.1195216,48.1596192
308,3651,120.80586456,48.73459392
308,3652,133.78004232,45.3670416
308,3653,146.1372744,43.78586112
308,3654,158.31379056,43.76830464
308,3655,170.46552648,43.8582816
308,3656,182.4884844,42.07739616
308,3657,193.9741104,41.17323744
308,3658,205.28728056,39.98707776
308,3659,216.273126,39.38247648
308,3660,227.17152432,39.30018048
308,3661,237.61464288,33.79183488
308,3662,246.34137168,30.99377088
308,3663,254.7024624,28.18583136
308,3664,262.24391544,27.11598336
308,3665,269.7326076,26.69901696
308,3666,277.2070656,27.22571136
308,3667,284.6365656,25.75096704
308,3668,291.6084084,24.9576336
308,3669,298.76136336,27.08416224
308,3670,306.40742376,27.3661632
308,3671,313.95478992,27.25424064
308,3672,321.97554096,31.76515872
308,3673,331.296264,33.18394176
308,3674,340.357206,32.65176096
316,3645,19.6400928,36.2760768
316,3646,25.81247568,41.32685664
316,3647,39.11522784,51.3691632
316,3648,53.39693664,51.36477408
316,3649,65.4864324,36.32106528
316,3650,77.97506376,50.29163424
316,3651,90.21863592,40.99876992
316,3652,102.15777384,45.45811584
316,3653,115.35610152,49.02866496
316,3654,128.93302128,49.06816704
316,3655,142.71662592,48.97928736
316,3656,155.22881832,43.66516032
316,3657,167.72973312,44.33450112
316,3658,180.51514824,46.38970656
316,3659,192.89057688,43.93179936
316,3660,205.06794648,43.84072512
316,3661,217.17871728,41.90073408
316,3662,227.94724032,35.80095456
316,3663,237.22041456,30.85990272
316,3664,245.11887984,27.3826224
316,3665,252.73714248,27.23339232
316,3666,260.15954064,26.47626912
316,3667,267.26086248,23.2952544
316,3668,273.29864568,21.68444736
316,3669,279.39114048,21.93791904
316,3670,285.81059424,25.52383008
316,3671,293.47503408,30.23774496
316,3672,302.63079936,32.40158112
316,3673,310.92437688,28.78275168
316,3674,319.29741576,34.04750112
316,3675,329.86102176,38.61547776
316,3676,340.28106696,37.97356896
316,3677,351.21838824,40.05181728
316,3678,362.1653412,38.12389632
316,3679,372.5070528,37.11439872
316,3680,383.13655656,40.31845632
316,3681,393.97841448,35.7384096
316,3682,403.39237584,32.67919296
316,3683,411.95067216,28.74434688
316,3684,419.70743592,27.5088096
316,3685,426.998892,24.59662848
316,3686,433.10321304,19.00379232
316,3687,437.50540896,12.728448
316,3688,440.76448296,11.62677888
316,3689,444.01142592,11.7079776
316,3690,447.26263608,11.7079776
316,3691,450.51363288,11.70578304
316,3692,453.7627704,11.77710624
316,3693,457.6733544,17.14061088
316,3694,462.6973728,18.18302688
316,3695,467.75754048,18.33335424
316,3696,472.84379904,18.27190656
316,3697,478.5574884,23.64199488
316,3698,485.38772112,24.6888
316,3699,492.24370944,24.76122048
316,3700,499.7641008,30.14337888
316,3701,504.9373188,31.2395616
321,3647,17.1197016,44.6812416
321,3648,25.21927392,45.28913472
321,3649,38.15041392,50.72835168
321,3650,54.63424176,62.65578528
321,3651,70.00740888,47.75691744
321,3652,82.3629036,43.1669952
321,3653,94.40274744,43.98337152
321,3654,106.68963168,44.47934208
321,3655,119.37592584,47.1446352
321,3656,132.63945024,48.55134816
321,3657,146.26373592,49.43904768
321,3658,160.2449424,50.59448352
321,3659,174.12227304,47.81178144
321,3660,186.68448312,44.220384
321,3661,198.9265008,43.58286432
321,3662,210.90968232,43.00459776
321,3663,222.38768832,36.38141568
321,3664,230.98609632,28.79921088
321,3665,238.7434392,25.16501952
321,3666,244.90932984,21.12044544
321,3667,250.7767908,21.12264
321,3668,256.59597144,20.76492672
321,3669,262.7964264,25.84313856
321,3670,270.35446056,26.1756144
321,3671,277.100538,22.40536032
321,3672,283.43315424,24.96421728
321,3673,290.87371848,27.29922912
321,3674,298.83341808,31.00035456
321,3675,307.83852072,32.64078816
321,3676,316.91875656,33.31012896
321,3677,327.2459292,41.25004704
321,3678,338.63350104,40.93293312
321,3679,350.33827824,41.86452384
321,3680,361.34613024,38.05147584
321,3681,371.96295432,38.3993136
321,3682,382.8656808,41.10081696
321,3683,394.44478896,40.06279008
321,3684,405.01439952,35.6616
321,3685,414.13855704,31.574232
321,3686,421.31251272,16.84105344
321,3687,425.16585528,14.58065664
321,3688,428.8973388,11.39415552
321,3689,431.39477856,6.35764032
321,3690,432.9391392,5.4864
321,3691,434.4631392,5.4864
321,3692,435.98534088,5.53797216
321,3693,438.0635892,10.06425216
321,3694,442.00386072,20.01877632
321,3695,448.41161016,23.701248
321,3696,454.99586928,23.701248
321,3697,461.58006744,23.701248
321,3698,468.17728056,23.85706176
321,3699,474.94304808,26.2688832
321,3700,482.94221928,29.84821056
321,3701,491.23146864,29.84491872
321,3702,499.51352472,29.77579008
321,3703,506.548426285714,29.8444484571429
338,3650,22.38640176,39.2167872
338,3651,30.87758112,41.58032832
338,3652,42.83464128,45.92994624
338,3653,58.57817088,58.62437856
338,3654,72.91401216,53.35853184
338,3655,86.8651044,43.80561216
338,3656,98.89857792,44.38607328
338,3657,111.49638864,45.78510528
338,3658,124.17929952,44.19185472
338,3659,136.48846464,44.96872896
338,3660,148.72664184,44.06786208
338,3661,161.19786912,45.89044416
338,3662,174.03031488,45.87837408
338,3663,186.44926896,43.0353216
338,3664,197.81388936,38.96770464
338,3665,208.58198568,39.45160512
338,3666,219.35331288,35.86020768
338,3667,228.2973336,28.44808128
338,3668,235.33205664,24.13686816
338,3669,242.01473568,24.23672064
338,3670,248.88526296,24.96421728
338,3671,255.76874424,24.37168608
338,3672,262.47309456,24.15332736
338,3673,269.17506744,24.38046432
338,3674,276.41501232,27.4374864
338,3675,284.09636856,27.98393184
338,3676,291.9782832,29.4948864
338,3677,300.6919056,32.64737184
338,3678,309.79984776,32.62871808
338,3679,318.98520912,35.03944224
338,3680,329.91198432,41.48705952
338,3681,340.89097176,38.18973312
338,3682,351.73648728,39.93660288
338,3683,362.5471032,38.0152656
338,3684,373.177308,38.40589728
338,3685,383.8047696,38.08549152
338,3686,393.88289016,32.08885632
338,3687,401.7838548,26.47297728
338,3688,408.18575208,19.02354336
338,3689,412.80200904,15.56162496
338,3690,416.99904408,13.37694048
338,3691,420.20340648,10.6655616
338,3692,422.55576144,6.06905568
338,3693,424.08890544,5.75303904
338,3694,426.49682544,11.67176736
338,3695,429.84523632,12.0865392
338,3696,433.79187816,17.24046336
338,3697,438.87097392,18.35091072
338,3698,444.05705448,20.11423968
338,3699,450.23336928,23.25794688
338,3700,456.73002888,24.34644864
338,3701,464.05946304,27.61963488
338,3702,471.7628868,27.7556976
338,3703,479.44006728,27.6075648
338,3704,487.1080428,27.60646752
338,3705,494.74910448,27.19827936
338,3706,500.8212996,27.9879552
342,3672,251.9664252,33.3134208
342,3678,298.17267264,27.43419456
342,3679,305.83619808,28.45027584
342,3680,314.31634368,32.5947024
342,3681,324.04900392,36.88835904
342,3682,334.32320232,36.98053056
342,3683,344.41144224,35.10966816
342,3684,353.98844112,34.35364224
342,3685,363.43718016,33.96191328
342,3686,372.70907424,31.50510336
342,3687,381.09262872,29.89868544
342,3688,389.4318348,30.04133184
342,3689,397.72766784,29.0614608
342,3690,404.11819608,16.64244576
